row ID,row m/z,row retention time,G95984_repeat_RG10_01_31635.mzXML Peak area,G95983_RA9_01_31462.mzXML Peak area,G95982_repeat_RB8_01_31543.mzXML Peak area,G95952_BA6_01_31659.mzXML Peak area,G96383_RA9_01_31737.mzXML Peak area,G96108_RC5_01_31487.mzXML Peak area,G96130_RE9_01_31521.mzXML Peak area,G95953_BB6_01_31682.mzXML Peak area,G96194_RD5_01_31500.mzXML Peak area,G96107_repeat_RD4_01_31616.mzXML Peak area,G96384_RB6_01_31763.mzXML Peak area,G96385_RB3_01_31754.mzXML Peak area,G96195_RG6_01_31579.mzXML Peak area,G96109_repeat_RB11_01_31549.mzXML Peak area,G96196_RC6_01_31488.mzXML Peak area,G96176_repeat_RE2_01_31625.mzXML Peak area,G95954_RF12_01_31571.mzXML Peak area,G96128_repeat2_BB7_01_31703.mzXML Peak area,G96177_repeat_RG12_01_31637.mzXML Peak area,G96129_RF11_01_31570.mzXML Peak area,G96178_repeat2_RH10_01_31679.mzXML Peak area,
2530,296.0656920665052,0.22394444444444445,170546.13749999998,200679.45149999997,244367.99449999994,151711.39100000006,99049.2805,218039.5665000001,199103.40949999998,117375.04799999995,171972.19350000008,192008.68600000007,38453.93899999999,28251.743000000013,156688.02899999998,178326.03599999993,220848.356,245135.622,148127.12500000006,122554.63800000004,118967.00200000007,237926.924,157881.15000000005,
2531,489.74632765283866,3.561787962962962,2079.8509999999837,1868.1924999999928,2477.2970000000014,2182.0115000000023,0,119046.39350000033,142750.2010000001,2623.7740000000126,203850.36199999924,195044.30649999905,0,0,163364.6019999997,23337.40999999997,242038.76549999884,474300.8175000028,3512.618999999997,31633.995500000063,217077.29599999968,129681.67450000098,305177.5795000001,
2532,637.6632448267054,3.8804453703703694,4258.774000000016,2896.913000000005,4630.765499999996,1181.9280000000053,0,113498.13349999985,163045.59000000026,2557.994000000005,167309.60799999992,206359.8580000001,0,0,78779.92300000027,123352.48199999963,55982.59999999993,220148.26900000026,1012.0649999999998,118632.97700000035,156563.74300000016,161834.30799999982,198837.4234999995,
2533,526.7765531117504,4.918219047619048,2271.493499999973,4894.683999999989,3281.710000000006,742.2980000000097,203.23599999999993,74531.28000000068,113944.68700000091,561.5800000000081,415923.9445000009,79997.29450000044,268.21650000000034,202.1199999999992,160969.7214999983,76782.95400000033,223363.70200000153,273883.0045,1616.1950000000054,84983.93450000013,189174.84850000075,114655.7589999994,262431.58250000334,
2536,931.5139456895295,5.282304761904763,327741.7064999984,236313.52000000142,181450.8430000009,175934.96850000133,154967.64499999976,122564.32799999959,118840.8820000009,171832.72900000022,98752.92150000024,148287.7425000006,122868.83500000015,78588.03599999992,76923.95900000018,98913.02899999957,89844.7024999997,101112.3644999998,210444.2785000019,61708.42199999987,111275.02100000056,84155.1189999999,131131.42349999948,
2537,697.3751733742904,3.945403703703703,3003.7460000000074,2541.4404999999942,2453.3479999999977,12460.914500000048,0,103401.3455000003,107570.46200000016,26141.421000000046,366162.28900000005,75223.18599999987,0,0,341835.30299999914,86152.05800000047,332234.4464999996,556811.5949999976,15220.39300000001,224064.9409999985,531029.5765000002,167364.27849999943,675362.6495000013,
2538,374.6977346686039,3.75205462962963,1949.3654999999874,1459.4749999999942,2179.2934999999916,4487.144000000019,0,110481.53799999939,90400.17600000015,1980.867500000013,143879.66399999917,130168.10449999972,0,0,100291.46099999998,97775.54549999897,129222.81200000018,142914.15349999937,5310.938999999994,46671.520999999746,113777.94049999947,69931.9800000003,96000.61250000045,
2539,683.8585208711169,4.48637619047619,11113.461500000023,11810.13050000002,16031.158499999983,2268.630000000002,706.3820000000019,130315.57949999889,108735.97700000106,2748.177,195901.29200000022,119034.6139999999,907.0845000000049,228.68999999999673,99150.71150000123,119538.43899999885,96823.7350000002,200778.56149999835,4374.7234999999855,124064.94399999875,143328.00800000055,128105.90200000007,273840.76349999715,
2540,693.3558072066602,3.7867240740740744,5513.042499999994,5494.2114999999985,5326.541499999978,6083.642000000011,0,118967.80850000035,100707.08400000024,10996.125500000053,193796.55150000047,122443.05499999957,0,0,235260.29399999886,124005.3239999997,304582.02150000114,350893.72500000056,7405.128999999974,186900.5304999999,304437.14000000036,145669.54100000058,311101.5245000011,
2542,1052.5587019517689,4.931502500000001,16304.815500000044,3591.7294999999863,14053.341499999971,17232.475499999946,381.88699999999983,61318.7340000004,103433.31500000085,18643.571999999956,310530.3120000004,93069.46550000038,296.19000000000034,0,149506.9434999985,79500.78250000029,172928.90150000114,315015.66299999994,23768.624499999863,175875.84850000028,238536.2370000017,110766.48099999952,591365.3360000054,
